iteration,LB,LB_best,UB,UB_se,UB_best,gap_pct
200,5.869137215789377,5.869137215789377,15.077324939486026,0.5086615307779291,15.077324939486026,61.07308664271945
400,6.133715005685837,6.133715005685837,14.133170134291538,0.6151404757019279,14.133170134291538,56.60057193535436
600,6.556782967072113,6.556782967072113,15.275709835540894,0.6447283726785817,14.133170134291538,57.07706523845511
800,5.83995770939368,6.556782967072113,15.125565834997472,0.5622917897301145,14.133170134291538,61.39015377605769
1000,5.0930506617661795,6.556782967072113,13.303095307076815,0.6299551939347507,13.303095307076815,61.715295995385056
1200,12.279363060695065,12.279363060695065,12.04324937401942,0.6395262870621363,12.04324937401942,-1.9605480160944557
1400,10.623692352500132,12.279363060695065,13.272854985035897,0.6623262951204796,12.04324937401942,19.95925244058259
1600,6.839089770281645,12.279363060695065,13.13639347160871,0.6412543755192536,12.04324937401942,47.93784317542891
1800,6.78706930702231,12.279363060695065,12.313759703458045,0.4834255492266921,12.04324937401942,44.88223361126405
2000,7.092804005368021,12.279363060695065,14.69985645878776,0.6034662358364353,12.04324937401942,51.74916146117976
2200,4.749252056704544,12.279363060695065,13.330082511054467,0.5777881841404053,12.04324937401942,64.37192303373928
2400,12.67794125367292,12.67794125367292,13.544444441599175,0.6122610401160188,12.04324937401942,6.39748047003653
2600,10.00014817697926,12.67794125367292,13.113939902133998,0.5696630359290168,12.04324937401942,23.744135998732446
2800,7.454078664778664,12.67794125367292,13.599874157265198,0.5597101798634732,12.04324937401942,45.19009088921153
3000,7.0968217177633015,12.67794125367292,13.773334475905132,0.5330591215582372,12.04324937401942,48.47419315795767
3200,9.250843745706758,12.67794125367292,14.178641505830166,0.5089264768717957,12.04324937401942,34.755076909851546
3400,6.168266988340282,12.67794125367292,13.01778787702558,0.616701869779246,12.04324937401942,52.616626982942805
3600,6.369052602956462,12.67794125367292,14.123485841168197,0.6568703447286464,12.04324937401942,54.90452799979826
3800,6.353459633761716,12.67794125367292,12.736626644726432,0.5658367560746485,12.04324937401942,50.11662184199809
4000,7.864961287486199,12.67794125367292,12.658866818858673,0.5810860143523027,12.04324937401942,37.86994207278258
4200,7.164327705070387,12.67794125367292,12.716702860710877,0.655919169655559,12.04324937401942,43.66206568209542
4400,5.7333151696075255,12.67794125367292,13.213955949967334,0.5979341950802322,12.04324937401942,56.61166730602202
4600,10.606263966716984,12.67794125367292,13.527035615530389,0.5783299969902244,12.04324937401942,21.592104373999483
4800,9.72442832245324,12.67794125367292,13.25414678631601,0.5921328244971852,12.04324937401942,26.631050046216174
5000,8.565308538163872,12.67794125367292,13.785981808820312,0.5759724146700774,12.04324937401942,37.86943391522711
