iteration,theta_const,theta_depot_age1,theta_depot_age2,theta_depot_age3,theta_lab_shortfall,theta_imbalance,theta_exp_risk
1,4.768427673447809,0.10229173067564674,0.10154544819148104,0.0639923881373515,0.033107584299857294,0.08704093785836273,0.5261742371384024
2,4.768427673447808,0.1020550943731705,0.10154544819148104,0.06214682450300042,0.033220281572408715,0.09100851233050752,0.519025400973975
3,4.768427673447808,0.10197051728214424,0.10154544819148104,0.060798260774702885,0.03331670468374612,0.0936135707461662,0.5153911937072629
4,4.768427673447808,0.10192561136821539,0.10154544819148104,0.05895705497739177,0.03340244666297392,0.09331707135457976,0.5122236075161104
5,4.768427673447808,0.10189721881574532,0.10154544819148104,0.05779292028699939,0.03348047114421355,0.09691120976375822,0.509799156522191
6,4.768427673447807,0.1018773915592124,0.10154544819148105,0.05697997480879267,0.03355257584858222,0.10075505844279249,0.5076067056866279
7,4.768427673447807,0.10186262705071651,0.10154544819148104,0.05637460913958144,0.033619949845366225,0.10387179854584457,0.5049696593975289
8,4.768427673447807,0.10185112724433551,0.10154544819148104,0.055903100860956796,0.03368342868516227,0.10695945155932388,0.5027064071362085
9,4.768427673447808,0.10184186805024281,0.10154544819148104,0.055523460845858914,0.03374362641821723,0.10972869687014707,0.5006134708633078
10,4.768427673447808,0.10183422038962414,0.10154544819148104,0.05520989597577818,0.0338010101946698,0.11176745997667192,0.4983336727382881
11,4.768427673447808,0.10182777492469883,0.10154544819148104,0.05494562282445852,0.03385594532671571,0.11385610080706919,0.4965116557264203
12,4.768427673447808,0.10184122753259435,0.10154544819148102,0.05471921352380613,0.03390872397312179,0.11567276666654396,0.4948948739540681
13,4.768427673447808,0.10183553844219903,0.10154544819148102,0.05452259591396626,0.03395958418834399,0.11811297376959692,0.49330937695894445
14,4.768427673447808,0.10183054131006755,0.10154544819148101,0.05434989270352851,0.03400872302304366,0.12050449427975607,0.4917158445968385
15,4.768427673447808,0.10182610912534008,0.10154544819148102,0.054196714338108076,0.034056305802274124,0.12264641025496868,0.490253682341367
16,4.768427673447808,0.1018221449481951,0.10154544819148102,0.054059710532390566,0.034102472863275286,0.1247949546626548,0.48834597278623937
17,4.768427673447808,0.1018185733938958,0.10154544819148102,0.05393627595481449,0.03414734455538696,0.12702509884093185,0.4865093060023025
18,4.768427673447807,0.10181533487735821,0.10154544819148102,0.05382435131716562,0.034191025020957486,0.12966464564877195,0.4846443268804566
19,4.768427673447807,0.10181238162278046,0.10154544819148102,0.05372228546551377,0.03423360510228425,0.13181263457483283,0.48290240120799044
20,4.768427673447807,0.10180967483435344,0.10154544819148102,0.053628737598652484,0.03427731567373092,0.1336329632284609,0.48095222337121324
21,4.768427673447807,0.1018071826500691,0.10154544819148104,0.05354260655076684,0.03431990569861045,0.13575016562987194,0.47893235411546686
22,4.768427673447807,0.1018048786355264,0.10154544819148104,0.053462978736662455,0.03436145895132122,0.13815743531085561,0.4769712064187426
23,4.768427673447807,0.10180274065754122,0.10154544819148104,0.05338908922320328,0.034402049143534986,0.14020481763039885,0.4750705773629482
24,4.768427673447806,0.10180075002968104,0.10154544819148104,0.053320292198591177,0.034441741550122994,0.14236555629990527,0.4731556960095768
