basis_index,feature_name,feature_sigma
0,const,1.0
1,depot_age1,3.3583900305799115
2,depot_age2,2.2350750121639966
3,depot_age3,1.1125195267948487
4,lab_shortfall,0.5540330584962617
5,imbalance,4.410096266364454
6,exp_risk,212492.79925661915
